NR_041599.1,Acanthopleuribacter pedis strain NBRC 101209 16S ribosomal RNA,Bacteria; Acidobacteria; Holophagae; Acanthopleuribacterales; Acanthopleuribacteraceae; Acanthopleuribacter; pedis; NBRC 101209
NR_148579.1,Acidicapsa acidiphila strain MCF10 16S ribosomal RNA,Bacteria; Acidobacteria; Acidobacteriia; Acidobacteriales; Acidobacteriaceae; Acidicapsa; acidiphila; MCF10
NR_148580.1,Acidicapsa acidisoli strain SK-11 16S ribosomal RNA,Bacteria; Acidobacteria; Acidobacteriia; Acidobacteriales; Acidobacteriaceae; Acidicapsa; acidisoli; SK-11
NR_117182.1,Acidicapsa borealis strain KA1 16S ribosomal RNA,Bacteria; Acidobacteria; Acidobacteriia; Acidobacteriales; Acidobacteriaceae; Acidicapsa; borealis; KA1
NR_149202.1,Acidicapsa ferrireducens strain MCF9 16S ribosomal RNA,Bacteria; Acidobacteria; Acidobacteriia; Acidobacteriales; Acidobacteriaceae; Acidicapsa; ferrireducens; MCF9
NR_116444.1,Acidicapsa ligni strain WH120 16S ribosomal RNA,Bacteria; Acidobacteria; Acidobacteriia; Acidobacteriales; Acidobacteriaceae; Acidicapsa; ligni; WH120
NR_147722.1,Acidipila dinghuensis strain DHOF10 16S ribosomal RNA,Bacteria; Acidobacteria; Acidobacteriia; Acidobacteriales; Acidobacteriaceae; Acidipila; dinghuensis; DHOF10
NR_113179.1,Acidipila rosea strain AP8 16S ribosomal RNA,Bacteria; Acidobacteria; Acidobacteriia; Acidobacteriales; Acidobacteriaceae; Acidipila; rosea; AP8
NR_153719.1,Acidobacterium ailaaui strain PMMR2 16S ribosomal RNA,Bacteria; Acidobacteria; Acidobacteriia; Acidobacteriales; Acidobacteriaceae; Acidobacterium; ailaaui; PMMR2
NR_074106.1,Acidobacterium capsulatum ATCC 51196 16S ribosomal RNA,Bacteria; Acidobacteria; Acidobacteriia; Acidobacteriales; Acidobacteriaceae; Acidobacterium; capsulatum; ATCC 51196
NR_043386.1,Acidobacterium capsulatum ATCC 51196 16S ribosomal RNA,Bacteria; Acidobacteria; Acidobacteriia; Acidobacteriales; Acidobacteriaceae; Acidobacterium; capsulatum; ATCC 51196
NR_151986.1,Arenimicrobium luteum strain Ac_12_G8 16S ribosomal RNA,Bacteria; Acidobacteria; Blastocatellia; Blastocatellales; Pyrinomonadaceae; Arenimicrobium; luteum; Ac_12_G8
NR_133697.1,Aridibacter famidurans strain A22_HD_4H 16S ribosomal RNA,Bacteria; Acidobacteria; Blastocatellia; Blastocatellales; Blastocatellaceae; Aridibacter; famidurans; A22_HD_4H
NR_133698.1,Aridibacter kavangonensis strain Ac_23_E3 16S ribosomal RNA,Bacteria; Acidobacteria; Blastocatellia; Blastocatellales; Blastocatellaceae; Aridibacter; kavangonensis; Ac_23_E3
NR_159154.1,Aridibacter nitratireducens strain A_24_SHP_-5_238 16S ribosomal RNA,Bacteria; Acidobacteria; Blastocatellia; Blastocatellales; Blastocatellaceae; Aridibacter; nitratireducens; A_24_SHP_-5_238
NR_118350.1,Blastocatella fastidiosa strain A2-16 16S ribosomal RNA,Bacteria; Acidobacteria; Blastocatellia; Blastocatellales; Blastocatellaceae; Blastocatella; fastidiosa; A2-16
NR_151987.1,Brevitalea aridisoli strain Ac_11_E3 16S ribosomal RNA,Bacteria; Acidobacteria; Blastocatellia; Blastocatellales; Pyrinomonadaceae; Brevitalea; aridisoli; Ac_11_E3
NR_151988.1,Brevitalea deliciosa strain Ac_16_C4 16S ribosomal RNA,Bacteria; Acidobacteria; Blastocatellia; Blastocatellales; Pyrinomonadaceae; Brevitalea; deliciosa; Ac_16_C4
NR_114981.1,Bryobacter aggregatus strain MPL3 16S ribosomal RNA,Bacteria; Acidobacteria; Acidobacteriia; Bryobacterales; Bryobacteraceae; Bryobacter; aggregatus; MPL3
NR_117052.1,Bryocella elongata strain SN10 16S ribosomal RNA,Bacteria; Acidobacteria; Acidobacteriia; Acidobacteriales; Acidobacteriaceae; Bryocella; elongata; SN10
NR_074296.1,Chloracidobacterium thermophilum strain B 16S ribosomal RNA,Bacteria; Acidobacteria; Blastocatellia; u-o; u-f; Chloracidobacterium; thermophilum; B
NR_158119.1,Edaphobacter acidisoli strain 4G-K17 16S ribosomal RNA,Bacteria; Acidobacteria; Acidobacteriia; Acidobacteriales; Acidobacteriaceae; Edaphobacter; acidisoli; 4G-K17
NR_043898.1,Edaphobacter aggregans strain Wbg-1 16S ribosomal RNA,Bacteria; Acidobacteria; Acidobacteriia; Acidobacteriales; Acidobacteriaceae; Edaphobacter; aggregans; Wbg-1
NR_147748.1,Edaphobacter dinghuensis strain DHF9 16S ribosomal RNA,Bacteria; Acidobacteria; Acidobacteriia; Acidobacteriales; Acidobacteriaceae; Edaphobacter; dinghuensis; DHF9
NR_115813.1,Edaphobacter modestus strain Jbg-1 16S ribosomal RNA,Bacteria; Acidobacteria; Acidobacteriia; Acidobacteriales; Acidobacteriaceae; Edaphobacter; modestus; Jbg-1
NR_036779.1,Geothrix fermentans strain H5 16S ribosomal RNA,Bacteria; Acidobacteria; Holophagae; Holophagales; Holophagaceae; Geothrix; fermentans; H5
NR_148567.1,Granulicella acidiphila strain MCF40 16S ribosomal RNA,Bacteria; Acidobacteria; Acidobacteriia; Acidobacteriales; Acidobacteriaceae; Granulicella; acidiphila; MCF40
NR_115070.1,Granulicella aggregans strain TPB6028 16S ribosomal RNA,Bacteria; Acidobacteria; Acidobacteriia; Acidobacteriales; Acidobacteriaceae; Granulicella; aggregans; TPB6028
NR_118022.1,Granulicella arctica strain MP5ACTX2 16S ribosomal RNA,Bacteria; Acidobacteria; Acidobacteriia; Acidobacteriales; Acidobacteriaceae; Granulicella; arctica; MP5ACTX2
NR_134047.1,Granulicella cerasi strain Sakura1 16S ribosomal RNA,Bacteria; Acidobacteria; Acidobacteriia; Acidobacteriales; Acidobacteriaceae; Granulicella; cerasi; Sakura1
NR_118020.1,Granulicella mallensis MP5ACTX8 16S ribosomal RNA,Bacteria; Acidobacteria; Acidobacteriia; Acidobacteriales; Acidobacteriaceae; Granulicella; mallensis; MP5ACTX8
NR_074298.1,Granulicella mallensis MP5ACTX8 16S ribosomal RNA,Bacteria; Acidobacteria; Acidobacteriia; Acidobacteriales; Acidobacteriaceae; Granulicella; mallensis; MP5ACTX8
NR_115072.1,Granulicella paludicola strain OB1010 16S ribosomal RNA,Bacteria; Acidobacteria; Acidobacteriia; Acidobacteriales; Acidobacteriaceae; Granulicella; paludicola; OB1010
NR_115071.1,Granulicella pectinivorans strain TPB6011 16S ribosomal RNA,Bacteria; Acidobacteria; Acidobacteriia; Acidobacteriales; Acidobacteriaceae; Granulicella; pectinivorans; TPB6011
NR_115073.1,Granulicella rosea strain TP01014 16S ribosomal RNA,Bacteria; Acidobacteria; Acidobacteriia; Acidobacteriales; Acidobacteriaceae; Granulicella; rosea; TP01014
NR_118023.1,Granulicella sapmiensis strain S6CTX5A 16S ribosomal RNA,Bacteria; Acidobacteria; Acidobacteriia; Acidobacteriales; Acidobacteriaceae; Granulicella; sapmiensis; S6CTX5A
NR_118021.1,Granulicella tundricola MP5ACTX9 16S ribosomal RNA,Bacteria; Acidobacteria; Acidobacteriia; Acidobacteriales; Acidobacteriaceae; Granulicella; tundricola; MP5ACTX9
NR_074295.1,Granulicella tundricola MP5ACTX9 16S ribosomal RNA,Bacteria; Acidobacteria; Acidobacteriia; Acidobacteriales; Acidobacteriaceae; Granulicella; tundricola; MP5ACTX9
NR_036891.1,Holophaga foetida strain TMBS4 16S ribosomal RNA,Bacteria; Acidobacteria; Holophagae; Holophagales; Holophagaceae; Holophaga; foetida; TMBS4
NR_156918.1,Luteitalea pratensis strain HEG_-6_39 16S ribosomal RNA,Bacteria; Acidobacteria; Vicinamibacteria; u-o; Vicinamibacteraceae; Luteitalea; pratensis; HEG_-6_39
NR_147738.1,Occallatibacter riparius strain 277 16S ribosomal RNA,Bacteria; Acidobacteria; Acidobacteriia; Acidobacteriales; Acidobacteriaceae; Occallatibacter; riparius; 277
NR_147737.1,Occallatibacter savannae strain A2-1c 16S ribosomal RNA,Bacteria; Acidobacteria; Acidobacteriia; Acidobacteriales; Acidobacteriaceae; Occallatibacter; savannae; A2-1c
NR_134120.1,Paludibaculum fermentans strain P105 16S ribosomal RNA,Bacteria; Acidobacteria; Acidobacteriia; Bryobacterales; Bryobacteraceae; Paludibaculum; fermentans; P105
NR_133835.1,Pyrinomonas methylaliphatogenes strain K22 16S ribosomal RNA,Bacteria; Acidobacteria; Blastocatellia; Blastocatellales; Pyrinomonadaceae; Pyrinomonas; methylaliphatogenes; K22
NR_135209.1,Silvibacterium bohemicum strain S15 16S ribosomal RNA,Bacteria; Acidobacteria; Acidobacteriia; Acidobacteriales; Acidobacteriaceae; Silvibacterium; bohemicum; S15
NR_146021.1,Stenotrophobacter namibiensis strain Ac_17_F2 16S ribosomal RNA,Bacteria; Acidobacteria; Blastocatellia; Blastocatellales; Blastocatellaceae; Stenotrophobacter; namibiensis; Ac_17_F2
NR_146022.1,Stenotrophobacter roseus strain Ac_15_C4 16S ribosomal RNA,Bacteria; Acidobacteria; Blastocatellia; Blastocatellales; Blastocatellaceae; Stenotrophobacter; roseus; Ac_15_C4
NR_146023.1,Stenotrophobacter terrae strain Ac_28_D10 16S ribosomal RNA,Bacteria; Acidobacteria; Blastocatellia; Blastocatellales; Blastocatellaceae; Stenotrophobacter; terrae; Ac_28_D10
NR_146026.1,Tellurimicrobium multivorans strain Ac_18_E7 16S ribosomal RNA,Bacteria; Acidobacteria; Blastocatellia; Blastocatellales; Blastocatellaceae; Tellurimicrobium; multivorans; Ac_18_E7
NR_115074.1,Telmatobacter bradus strain TPB6017 16S ribosomal RNA,Bacteria; Acidobacteria; Acidobacteriia; Acidobacteriales; Acidobacteriaceae; Telmatobacter; bradus; TPB6017
NR_146368.1,Terracidiphilus gabretensis strain S55 16S ribosomal RNA,Bacteria; Acidobacteria; Acidobacteriia; Acidobacteriales; Acidobacteriaceae; Terracidiphilus; gabretensis; S55
NR_137410.1,Terriglobus albidus strain Ac_26_B10 16S ribosomal RNA,Bacteria; Acidobacteria; Acidobacteriia; Acidobacteriales; Acidobacteriaceae; Terriglobus; albidus; Ac_26_B10
NR_135733.1,Terriglobus aquaticus strain 03SUJ4 16S ribosomal RNA,Bacteria; Acidobacteria; Acidobacteriia; Acidobacteriales; Acidobacteriaceae; Terriglobus; aquaticus; 03SUJ4
NR_043918.1,Terriglobus roseus strain KBS 63 16S ribosomal RNA,Bacteria; Acidobacteria; Acidobacteriia; Acidobacteriales; Acidobacteriaceae; Terriglobus; roseus; KBS 63
NR_117834.1,Terriglobus saanensis SP1PR4 16S ribosomal RNA,Bacteria; Acidobacteria; Acidobacteriia; Acidobacteriales; Acidobacteriaceae; Terriglobus; saanensis; SP1PR4
NR_074294.1,Terriglobus saanensis SP1PR4 16S ribosomal RNA,Bacteria; Acidobacteria; Acidobacteriia; Acidobacteriales; Acidobacteriaceae; Terriglobus; saanensis; SP1PR4
NR_133877.1,Terriglobus tenax strain DRP 35 16S ribosomal RNA,Bacteria; Acidobacteria; Acidobacteriia; Acidobacteriales; Acidobacteriaceae; Terriglobus; tenax; DRP 35
NR_109681.1,Thermoanaerobaculum aquaticum strain MP-01 16S ribosomal RNA,Bacteria; Acidobacteria; Thermoanaerobaculia; Thermoanaerobaculales; Thermoanaerobaculaceae; Thermoanaerobaculum; aquaticum; MP-01
NR_113312.1,Thermotomaculum hydrothermale strain AC55 16S ribosomal RNA,Bacteria; Acidobacteria; Holophagae; Thermotomaculales; Thermotomaculaceae; Thermotomaculum; hydrothermale; AC55
NR_151905.1,Vicinamibacter silvestris strain Ac_5_C6 16S ribosomal RNA,Bacteria; Acidobacteria; Vicinamibacteria; u-o; Vicinamibacteraceae; Vicinamibacter; silvestris; Ac_5_C6
NR_144579.1,[Collinsella] massiliensis strain GD3 16S ribosomal RNA,Bacteria; Actinobacteria; Coriobacteriia; Coriobacteriales; Coriobacteriaceae; [Collinsella]; massiliensis; GD3
NR_126320.1,[Kitasatospora] papulosa strain JCM 7250 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; [Kitasatospora]; papulosa; JCM 7250
NR_158073.1,[Mycobacterium] chelonae subsp. bovis strain QIA-37 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Corynebacteriales; Mycobacteriaceae; [Mycobacterium]; chelonae; QIA-37
NR_157700.1,[Mycobacterium] stephanolepidis strain NJB0901 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Corynebacteriales; Mycobacteriaceae; [Mycobacterium]; stephanolepidis; NJB0901
NR_042334.1,Acaricomes phytoseiuli strain CSC 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micrococcales; Micrococcaceae; Acaricomes; phytoseiuli; CSC
NR_074390.1,Acidimicrobium ferrooxidans DSM 10331 16S ribosomal RNA,Bacteria; Actinobacteria; Acidimicrobiia; Acidimicrobiales; Acidimicrobiaceae; Acidimicrobium; ferrooxidans; DSM 10331
NR_027584.1,Acidimicrobium ferrooxidans strain DSM 10331 16S ribosomal RNA,Bacteria; Actinobacteria; Acidimicrobiia; Acidimicrobiales; Acidimicrobiaceae; Acidimicrobium; ferrooxidans; DSM 10331
NR_125504.1,Acidipropionibacterium acidipropionici strain CIP 103025 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Propionibacteriales; Propionibacteriaceae; Acidipropionibacterium; acidipropionici; CIP 103025
NR_134136.1,Acidipropionibacterium damnosum strain IGBL13 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Propionibacteriales; Propionibacteriaceae; Acidipropionibacterium; damnosum; IGBL13
NR_042269.1,Acidipropionibacterium jensenii strain DSM 20535 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Propionibacteriales; Propionibacteriaceae; Acidipropionibacterium; jensenii; DSM 20535
NR_028778.1,Acidipropionibacterium microaerophilum strain M 5 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Propionibacteriales; Propionibacteriaceae; Acidipropionibacterium; microaerophilum; M 5
NR_134137.1,Acidipropionibacterium olivae strain IGBL1 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Propionibacteriales; Propionibacteriaceae; Acidipropionibacterium; olivae; IGBL1
NR_118898.1,Acidipropionibacterium thoenii strain DSM 20276 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Propionibacteriales; Propionibacteriaceae; Acidipropionibacterium; thoenii; DSM 20276
NR_042270.1,Acidipropionibacterium thoenii strain NCFB 568 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Propionibacteriales; Propionibacteriaceae; Acidipropionibacterium; thoenii; NCFB 568
NR_112972.1,Aciditerrimonas ferrireducens JCM 15389 strain IC-180 16S ribosomal RNA,Bacteria; Actinobacteria; Acidimicrobiia; Acidimicrobiales; Acidimicrobiaceae; Aciditerrimonas; ferrireducens; JCM 15389 | IC-180
NR_114693.1,Acidothermus cellulolyticus strain 11B 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Acidothermales; Acidothermaceae; Acidothermus; cellulolyticus; 11B
NR_074501.1,Acidothermus cellulolyticus strain 11B 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Acidothermales; Acidothermaceae; Acidothermus; cellulolyticus; 11B
NR_119194.1,Acrocarpospora corrugata strain DSM 43316 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Streptosporangiaceae; Acrocarpospora; corrugata; DSM 43316
NR_118822.1,Acrocarpospora corrugata strain IFO 13972 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Streptosporangiaceae; Acrocarpospora; corrugata; IFO 13972
NR_041245.1,Acrocarpospora corrugata strain NBRC 13972 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Streptosporangiaceae; Acrocarpospora; corrugata; NBRC 13972
NR_028612.1,Acrocarpospora macrocephala strain IFO 16266 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Streptosporangiaceae; Acrocarpospora; macrocephala; IFO 16266
NR_108123.1,Acrocarpospora phusangensis strain PS33-18 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Streptosporangiaceae; Acrocarpospora; phusangensis; PS33-18
NR_036814.1,Acrocarpospora pleiomorpha strain R-31 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Streptosporangiaceae; Acrocarpospora; pleiomorpha; R-31
NR_116319.1,Actinoallomurus acaciae strain GMKU 931 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinoallomurus; acaciae; GMKU 931
NR_118340.1,Actinoallomurus acanthiterrae strain 2614A723 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinoallomurus; acanthiterrae; 2614A723
NR_041647.1,Actinoallomurus amamiensis strain TT00-28 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinoallomurus; amamiensis; TT00-28
NR_145530.1,Actinoallomurus bryophytorum strain NEAU-TX1-15 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinoallomurus; bryophytorum; NEAU-TX1-15
NR_041652.1,Actinoallomurus caesius strain A3015 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinoallomurus; caesius; A3015
NR_041645.1,Actinoallomurus coprocola strain TT04-09 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinoallomurus; coprocola; TT04-09
NR_041646.1,Actinoallomurus fulvus strain TT99-66 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinoallomurus; fulvus; TT99-66
NR_041650.1,Actinoallomurus iriomotensis strain TT02-47 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinoallomurus; iriomotensis; TT02-47
NR_113558.1,Actinoallomurus liliacearum strain K10-0485 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinoallomurus; liliacearum; K10-0485
NR_041649.1,Actinoallomurus luridus strain TT02-15 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinoallomurus; luridus; TT02-15
NR_116314.1,Actinoallomurus oryzae strain GMKU 370 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinoallomurus; oryzae; GMKU 370
NR_041651.1,Actinoallomurus purpureus strain TTN02-30 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinoallomurus; purpureus; TTN02-30
NR_113221.1,Actinoallomurus radicium strain K08-0182 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinoallomurus; radicium; K08-0182
NR_025022.1,Actinoallomurus spadix strain JCM 3146 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinoallomurus; spadix; JCM 3146
NR_112730.1,Actinoallomurus spadix strain NBRC 14099 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinoallomurus; spadix; NBRC 14099
NR_113559.1,Actinoallomurus vinaceus strain K10-0528 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Thermomonosporaceae; Actinoallomurus; vinaceus; K10-0528
